Temperature (C),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),
99.606,0.1,53.212,0.018793,7.5196,7.5214,23.47,67.921,75.938,1543.5,-0.17843,282.75,0.67706,
99.606,0.1,0.032769,30.517,45.138,48.19,132.57,28.01,37.444,471.99,67.038,12.218,0.024532,
99.75,0.1,0.032755,30.529,45.142,48.195,132.59,28.001,37.432,472.1,66.891,12.224,0.024544,
100,0.1,0.032732,30.551,45.15,48.205,132.61,27.987,37.411,472.28,66.638,12.234,0.024564,
100.25,0.1,0.032708,30.574,45.157,48.214,132.64,27.972,37.39,472.46,66.387,12.243,0.024585,
100.5,0.1,0.032684,30.596,45.164,48.223,132.66,27.958,37.37,472.63,66.138,12.253,0.024606,
100.75,0.1,0.032661,30.618,45.171,48.233,132.69,27.944,37.35,472.81,65.891,12.263,0.024626,
101,0.1,0.032637,30.64,45.178,48.242,132.71,27.93,37.331,472.99,65.647,12.272,0.024647,
101.25,0.1,0.032614,30.662,45.185,48.251,132.74,27.917,37.311,473.17,65.405,12.282,0.024668,
101.5,0.1,0.03259,30.684,45.192,48.261,132.76,27.903,37.292,473.35,65.165,12.291,0.024689,
101.75,0.1,0.032567,30.706,45.199,48.27,132.79,27.89,37.274,473.52,64.927,12.301,0.024709,
102,0.1,0.032543,30.728,45.206,48.279,132.81,27.878,37.255,473.7,64.691,12.311,0.02473,
102.25,0.1,0.03252,30.75,45.214,48.289,132.84,27.865,37.237,473.88,64.456,12.32,0.024751,
102.5,0.1,0.032497,30.773,45.221,48.298,132.86,27.853,37.219,474.05,64.224,12.33,0.024772,
102.75,0.1,0.032473,30.795,45.228,48.307,132.89,27.84,37.202,474.23,63.994,12.34,0.024792,
103,0.1,0.03245,30.817,45.235,48.317,132.91,27.828,37.184,474.4,63.765,12.349,0.024813,
103.25,0.1,0.032427,30.839,45.242,48.326,132.93,27.816,37.167,474.58,63.538,12.359,0.024834,
103.5,0.1,0.032404,30.861,45.249,48.335,132.96,27.805,37.15,474.75,63.313,12.369,0.024855,
103.75,0.1,0.032381,30.883,45.256,48.344,132.98,27.793,37.133,474.93,63.09,12.378,0.024875,
104,0.1,0.032357,30.905,45.263,48.354,133.01,27.782,37.117,475.1,62.868,12.388,0.024896,
104.25,0.1,0.032334,30.927,45.27,48.363,133.03,27.771,37.101,475.28,62.648,12.398,0.024917,
104.5,0.1,0.032311,30.949,45.277,48.372,133.06,27.76,37.085,475.45,62.429,12.407,0.024938,
104.75,0.1,0.032288,30.971,45.284,48.382,133.08,27.749,37.069,475.63,62.212,12.417,0.024959,
105,0.1,0.032265,30.993,45.291,48.391,133.11,27.738,37.053,475.8,61.997,12.426,0.024979,
105.25,0.1,0.032243,31.015,45.299,48.4,133.13,27.728,37.038,475.97,61.783,12.436,0.025,
105.5,0.1,0.03222,31.037,45.306,48.409,133.16,27.717,37.023,476.15,61.571,12.446,0.025021,
105.75,0.1,0.032197,31.059,45.313,48.419,133.18,27.707,37.008,476.32,61.36,12.455,0.025042,
106,0.1,0.032174,31.081,45.32,48.428,133.2,27.697,36.993,476.49,61.151,12.465,0.025063,
106.25,0.1,0.032151,31.103,45.327,48.437,133.23,27.687,36.978,476.66,60.943,12.475,0.025084,
106.5,0.1,0.032129,31.125,45.334,48.446,133.25,27.677,36.964,476.84,60.736,12.484,0.025104,
106.75,0.1,0.032106,31.147,45.341,48.456,133.28,27.668,36.949,477.01,60.531,12.494,0.025125,
107,0.1,0.032083,31.169,45.348,48.465,133.3,27.658,36.935,477.18,60.327,12.504,0.025146,
107.25,0.1,0.032061,31.191,45.355,48.474,133.33,27.649,36.921,477.35,60.125,12.514,0.025167,
107.5,0.1,0.032038,31.213,45.362,48.483,133.35,27.64,36.907,477.52,59.924,12.523,0.025188,
107.75,0.1,0.032016,31.235,45.369,48.492,133.37,27.63,36.894,477.69,59.724,12.533,0.025209,
108,0.1,0.031993,31.257,45.376,48.502,133.4,27.621,36.88,477.86,59.525,12.543,0.02523,
108.25,0.1,0.031971,31.279,45.383,48.511,133.42,27.612,36.867,478.03,59.328,12.552,0.025251,
108.5,0.1,0.031948,31.3,45.39,48.52,133.45,27.604,36.854,478.21,59.132,12.562,0.025271,
108.75,0.1,0.031926,31.322,45.397,48.529,133.47,27.595,36.841,478.38,58.937,12.572,0.025292,
109,0.1,0.031904,31.344,45.404,48.539,133.5,27.586,36.828,478.55,58.743,12.581,0.025313,
109.25,0.1,0.031881,31.366,45.411,48.548,133.52,27.578,36.815,478.72,58.551,12.591,0.025334,
109.5,0.1,0.031859,31.388,45.418,48.557,133.54,27.57,36.803,478.89,58.359,12.601,0.025355,
109.75,0.1,0.031837,31.41,45.425,48.566,133.57,27.561,36.79,479.06,58.169,12.61,0.025376,
110,0.1,0.031815,31.432,45.432,48.575,133.59,27.553,36.778,479.22,57.98,12.62,0.025397,
110.25,0.1,0.031793,31.454,45.439,48.585,133.62,27.545,36.766,479.39,57.792,12.63,0.025418,
110.5,0.1,0.03177,31.476,45.446,48.594,133.64,27.537,36.754,479.56,57.605,12.639,0.025439,
110.75,0.1,0.031748,31.498,45.453,48.603,133.66,27.529,36.742,479.73,57.419,12.649,0.02546,
111,0.1,0.031726,31.52,45.46,48.612,133.69,27.522,36.73,479.9,57.234,12.659,0.025481,
111.25,0.1,0.031704,31.541,45.467,48.621,133.71,27.514,36.718,480.07,57.05,12.669,0.025502,
111.5,0.1,0.031682,31.563,45.474,48.63,133.74,27.506,36.707,480.24,56.868,12.678,0.025523,
111.75,0.1,0.03166,31.585,45.481,48.64,133.76,27.499,36.695,480.41,56.686,12.688,0.025544,
112,0.1,0.031639,31.607,45.488,48.649,133.78,27.491,36.684,480.57,56.505,12.698,0.025565,
112.25,0.1,0.031617,31.629,45.495,48.658,133.81,27.484,36.673,480.74,56.326,12.707,0.025586,
112.5,0.1,0.031595,31.651,45.502,48.667,133.83,27.477,36.661,480.91,56.147,12.717,0.025607,
112.75,0.1,0.031573,31.673,45.509,48.676,133.85,27.47,36.65,481.08,55.969,12.727,0.025628,
113,0.1,0.031551,31.694,45.516,48.685,133.88,27.463,36.64,481.24,55.793,12.737,0.025649,
113.25,0.1,0.03153,31.716,45.523,48.695,133.9,27.456,36.629,481.41,55.617,12.746,0.02567,
113.5,0.1,0.031508,31.738,45.53,48.704,133.93,27.449,36.618,481.58,55.442,12.756,0.025691,
113.75,0.1,0.031486,31.76,45.537,48.713,133.95,27.442,36.608,481.75,55.268,12.766,0.025712,
114,0.1,0.031465,31.782,45.544,48.722,133.97,27.435,36.597,481.91,55.095,12.775,0.025733,
114.25,0.1,0.031443,31.804,45.551,48.731,134,27.428,36.587,482.08,54.923,12.785,0.025754,
114.5,0.1,0.031421,31.825,45.558,48.74,134.02,27.422,36.576,482.25,54.752,12.795,0.025775,
114.75,0.1,0.0314,31.847,45.565,48.749,134.04,27.415,36.566,482.41,54.582,12.805,0.025796,
115,0.1,0.031378,31.869,45.572,48.759,134.07,27.409,36.556,482.58,54.412,12.814,0.025817,
115.25,0.1,0.031357,31.891,45.579,48.768,134.09,27.402,36.546,482.74,54.244,12.824,0.025838,
115.5,0.1,0.031336,31.913,45.586,48.777,134.11,27.396,36.536,482.91,54.076,12.834,0.02586,
115.75,0.1,0.031314,31.934,45.593,48.786,134.14,27.39,36.527,483.08,53.909,12.844,0.025881,
116,0.1,0.031293,31.956,45.6,48.795,134.16,27.384,36.517,483.24,53.743,12.853,0.025902,
116.25,0.1,0.031272,31.978,45.606,48.804,134.18,27.378,36.507,483.41,53.578,12.863,0.025923,
116.5,0.1,0.03125,32,45.613,48.813,134.21,27.372,36.498,483.57,53.414,12.873,0.025944,
116.75,0.1,0.031229,32.022,45.62,48.823,134.23,27.366,36.488,483.74,53.25,12.883,0.025965,
117,0.1,0.031208,32.043,45.627,48.832,134.25,27.36,36.479,483.9,53.088,12.892,0.025986,
117.25,0.1,0.031187,32.065,45.634,48.841,134.28,27.354,36.47,484.07,52.926,12.902,0.026007,
117.5,0.1,0.031165,32.087,45.641,48.85,134.3,27.348,36.461,484.23,52.765,12.912,0.026029,
117.75,0.1,0.031144,32.109,45.648,48.859,134.32,27.342,36.452,484.4,52.605,12.922,0.02605,
118,0.1,0.031123,32.13,45.655,48.868,134.35,27.337,36.443,484.56,52.445,12.931,0.026071,
118.25,0.1,0.031102,32.152,45.662,48.877,134.37,27.331,36.434,484.73,52.286,12.941,0.026092,
118.5,0.1,0.031081,32.174,45.669,48.886,134.39,27.326,36.425,484.89,52.128,12.951,0.026113,
118.75,0.1,0.03106,32.196,45.676,48.895,134.42,27.32,36.416,485.05,51.971,12.961,0.026134,
119,0.1,0.031039,32.217,45.683,48.905,134.44,27.315,36.407,485.22,51.815,12.97,0.026156,
119.25,0.1,0.031018,32.239,45.69,48.914,134.46,27.309,36.399,485.38,51.659,12.98,0.026177,
119.5,0.1,0.030997,32.261,45.697,48.923,134.49,27.304,36.39,485.55,51.504,12.99,0.026198,
119.75,0.1,0.030976,32.283,45.704,48.932,134.51,27.299,36.382,485.71,51.35,13,0.026219,
120,0.1,0.030956,32.304,45.711,48.941,134.53,27.293,36.373,485.87,51.196,13.009,0.02624,
120.25,0.1,0.030935,32.326,45.717,48.95,134.56,27.288,36.365,486.04,51.044,13.019,0.026262,
120.5,0.1,0.030914,32.348,45.724,48.959,134.58,27.283,36.357,486.2,50.892,13.029,0.026283,
120.75,0.1,0.030893,32.369,45.731,48.968,134.6,27.278,36.349,486.36,50.74,13.039,0.026304,
121,0.1,0.030873,32.391,45.738,48.977,134.63,27.273,36.341,486.53,50.59,13.048,0.026325,
121.25,0.1,0.030852,32.413,45.745,48.986,134.65,27.268,36.333,486.69,50.44,13.058,0.026347,
121.5,0.1,0.030831,32.435,45.752,48.995,134.67,27.263,36.325,486.85,50.291,13.068,0.026368,
121.75,0.1,0.030811,32.456,45.759,49.005,134.69,27.259,36.317,487.01,50.142,13.078,0.026389,
122,0.1,0.03079,32.478,45.766,49.014,134.72,27.254,36.309,487.18,49.994,13.088,0.026411,
122.25,0.1,0.03077,32.5,45.773,49.023,134.74,27.249,36.301,487.34,49.847,13.097,0.026432,
122.5,0.1,0.030749,32.521,45.78,49.032,134.76,27.244,36.294,487.5,49.701,13.107,0.026453,
122.75,0.1,0.030728,32.543,45.787,49.041,134.79,27.24,36.286,487.66,49.555,13.117,0.026474,
123,0.1,0.030708,32.565,45.793,49.05,134.81,27.235,36.278,487.83,49.41,13.127,0.026496,
123.25,0.1,0.030688,32.586,45.8,49.059,134.83,27.231,36.271,487.99,49.265,13.136,0.026517,
123.5,0.1,0.030667,32.608,45.807,49.068,134.86,27.226,36.264,488.15,49.121,13.146,0.026538,
123.75,0.1,0.030647,32.63,45.814,49.077,134.88,27.222,36.256,488.31,48.978,13.156,0.02656,
124,0.1,0.030626,32.651,45.821,49.086,134.9,27.217,36.249,488.47,48.835,13.166,0.026581,
124.25,0.1,0.030606,32.673,45.828,49.095,134.92,27.213,36.242,488.63,48.693,13.176,0.026602,
124.5,0.1,0.030586,32.695,45.835,49.104,134.95,27.209,36.235,488.8,48.552,13.185,0.026624,
124.75,0.1,0.030566,32.716,45.842,49.113,134.97,27.204,36.228,488.96,48.411,13.195,0.026645,
125,0.1,0.030545,32.738,45.849,49.122,134.99,27.2,36.22,489.12,48.271,13.205,0.026667,
125.25,0.1,0.030525,32.76,45.855,49.131,135.01,27.196,36.214,489.28,48.132,13.215,0.026688,
125.5,0.1,0.030505,32.781,45.862,49.141,135.04,27.192,36.207,489.44,47.993,13.225,0.026709,
125.75,0.1,0.030485,32.803,45.869,49.15,135.06,27.188,36.2,489.6,47.855,13.234,0.026731,
126,0.1,0.030465,32.825,45.876,49.159,135.08,27.184,36.193,489.76,47.717,13.244,0.026752,
126.25,0.1,0.030445,32.846,45.883,49.168,135.11,27.18,36.186,489.92,47.581,13.254,0.026774,
126.5,0.1,0.030425,32.868,45.89,49.177,135.13,27.176,36.18,490.08,47.444,13.264,0.026795,
126.75,0.1,0.030405,32.89,45.897,49.186,135.15,27.172,36.173,490.24,47.308,13.274,0.026816,
127,0.1,0.030385,32.911,45.904,49.195,135.17,27.168,36.166,490.4,47.173,13.283,0.026838,
127.25,0.1,0.030365,32.933,45.911,49.204,135.2,27.164,36.16,490.56,47.039,13.293,0.026859,
127.5,0.1,0.030345,32.954,45.917,49.213,135.22,27.16,36.153,490.72,46.905,13.303,0.026881,
127.75,0.1,0.030325,32.976,45.924,49.222,135.24,27.156,36.147,490.88,46.771,13.313,0.026902,
128,0.1,0.030305,32.998,45.931,49.231,135.26,27.153,36.141,491.04,46.638,13.323,0.026924,
128.25,0.1,0.030285,33.019,45.938,49.24,135.29,27.149,36.134,491.2,46.506,13.333,0.026945,
128.5,0.1,0.030265,33.041,45.945,49.249,135.31,27.145,36.128,491.36,46.374,13.342,0.026967,
128.75,0.1,0.030246,33.063,45.952,49.258,135.33,27.142,36.122,491.52,46.243,13.352,0.026988,
129,0.1,0.030226,33.084,45.959,49.267,135.35,27.138,36.116,491.68,46.113,13.362,0.02701,
129.25,0.1,0.030206,33.106,45.966,49.276,135.38,27.135,36.11,491.84,45.983,13.372,0.027031,
129.5,0.1,0.030187,33.127,45.972,49.285,135.4,27.131,36.104,492,45.853,13.382,0.027053,
129.75,0.1,0.030167,33.149,45.979,49.294,135.42,27.128,36.098,492.16,45.724,13.391,0.027074,
130,0.1,0.030147,33.171,45.986,49.303,135.44,27.124,36.092,492.32,45.596,13.401,0.027096,
130.25,0.1,0.030128,33.192,45.993,49.312,135.47,27.121,36.086,492.48,45.468,13.411,0.027117,
130.5,0.1,0.030108,33.214,46,49.321,135.49,27.118,36.08,492.64,45.341,13.421,0.027139,
130.75,0.1,0.030088,33.235,46.007,49.33,135.51,27.114,36.074,492.79,45.214,13.431,0.02716,
131,0.1,0.030069,33.257,46.014,49.339,135.53,27.111,36.069,492.95,45.088,13.441,0.027182,
131.25,0.1,0.030049,33.278,46.02,49.348,135.56,27.108,36.063,493.11,44.962,13.45,0.027203,
131.5,0.1,0.03003,33.3,46.027,49.357,135.58,27.105,36.057,493.27,44.837,13.46,0.027225,
131.75,0.1,0.030011,33.322,46.034,49.366,135.6,27.101,36.052,493.43,44.713,13.47,0.027247,
132,0.1,0.029991,33.343,46.041,49.375,135.62,27.098,36.046,493.59,44.589,13.48,0.027268,
132.25,0.1,0.029972,33.365,46.048,49.384,135.64,27.095,36.041,493.74,44.465,13.49,0.02729,
132.5,0.1,0.029952,33.386,46.055,49.393,135.67,27.092,36.035,493.9,44.342,13.5,0.027311,
132.75,0.1,0.029933,33.408,46.062,49.402,135.69,27.089,36.03,494.06,44.22,13.51,0.027333,
133,0.1,0.029914,33.429,46.068,49.411,135.71,27.086,36.025,494.22,44.098,13.519,0.027355,
133.25,0.1,0.029895,33.451,46.075,49.42,135.73,27.083,36.019,494.37,43.976,13.529,0.027376,
133.5,0.1,0.029875,33.473,46.082,49.429,135.76,27.08,36.014,494.53,43.855,13.539,0.027398,
133.75,0.1,0.029856,33.494,46.089,49.438,135.78,27.077,36.009,494.69,43.735,13.549,0.027419,
134,0.1,0.029837,33.516,46.096,49.447,135.8,27.074,36.004,494.85,43.615,13.559,0.027441,
134.25,0.1,0.029818,33.537,46.103,49.456,135.82,27.072,35.999,495,43.495,13.569,0.027463,
134.5,0.1,0.029799,33.559,46.11,49.465,135.84,27.069,35.994,495.16,43.376,13.579,0.027484,
134.75,0.1,0.029779,33.58,46.116,49.474,135.87,27.066,35.988,495.32,43.258,13.588,0.027506,
135,0.1,0.02976,33.602,46.123,49.483,135.89,27.063,35.984,495.48,43.14,13.598,0.027528,
135.25,0.1,0.029741,33.623,46.13,49.492,135.91,27.061,35.979,495.63,43.022,13.608,0.027549,
135.5,0.1,0.029722,33.645,46.137,49.501,135.93,27.058,35.974,495.79,42.905,13.618,0.027571,
135.75,0.1,0.029703,33.666,46.144,49.51,135.95,27.055,35.969,495.95,42.788,13.628,0.027593,
136,0.1,0.029684,33.688,46.151,49.519,135.98,27.053,35.964,496.1,42.672,13.638,0.027615,
136.25,0.1,0.029665,33.709,46.157,49.528,136,27.05,35.959,496.26,42.557,13.648,0.027636,
136.5,0.1,0.029646,33.731,46.164,49.537,136.02,27.048,35.955,496.42,42.442,13.657,0.027658,
136.75,0.1,0.029628,33.752,46.171,49.546,136.04,27.045,35.95,496.57,42.327,13.667,0.02768,
137,0.1,0.029609,33.774,46.178,49.555,136.06,27.043,35.945,496.73,42.213,13.677,0.027702,
137.25,0.1,0.02959,33.795,46.185,49.564,136.09,27.04,35.941,496.88,42.099,13.687,0.027723,
137.5,0.1,0.029571,33.817,46.192,49.573,136.11,27.038,35.936,497.04,41.986,13.697,0.027745,
137.75,0.1,0.029552,33.838,46.198,49.582,136.13,27.035,35.931,497.2,41.873,13.707,0.027767,
138,0.1,0.029533,33.86,46.205,49.591,136.15,27.033,35.927,497.35,41.761,13.717,0.027789,
138.25,0.1,0.029515,33.881,46.212,49.6,136.17,27.031,35.923,497.51,41.649,13.727,0.02781,
138.5,0.1,0.029496,33.903,46.219,49.609,136.19,27.028,35.918,497.66,41.537,13.736,0.027832,
138.75,0.1,0.029477,33.924,46.226,49.618,136.22,27.026,35.914,497.82,41.426,13.746,0.027854,
139,0.1,0.029459,33.946,46.233,49.627,136.24,27.024,35.909,497.97,41.316,13.756,0.027876,
139.25,0.1,0.02944,33.967,46.239,49.636,136.26,27.022,35.905,498.13,41.206,13.766,0.027898,
139.5,0.1,0.029421,33.989,46.246,49.645,136.28,27.019,35.901,498.29,41.096,13.776,0.027919,
139.75,0.1,0.029403,34.01,46.253,49.654,136.3,27.017,35.897,498.44,40.987,13.786,0.027941,
140,0.1,0.029384,34.032,46.26,49.663,136.33,27.015,35.893,498.6,40.878,13.796,0.027963,
140.25,0.1,0.029366,34.053,46.267,49.672,136.35,27.013,35.888,498.75,40.77,13.806,0.027985,
140.5,0.1,0.029347,34.075,46.274,49.681,136.37,27.011,35.884,498.91,40.662,13.816,0.028007,
140.75,0.1,0.029329,34.096,46.28,49.69,136.39,27.009,35.88,499.06,40.554,13.825,0.028029,
141,0.1,0.02931,34.118,46.287,49.699,136.41,27.007,35.876,499.22,40.447,13.835,0.02805,
141.25,0.1,0.029292,34.139,46.294,49.708,136.43,27.005,35.872,499.37,40.341,13.845,0.028072,
141.5,0.1,0.029273,34.161,46.301,49.717,136.46,27.003,35.868,499.52,40.234,13.855,0.028094,
141.75,0.1,0.029255,34.182,46.308,49.726,136.48,27.001,35.864,499.68,40.129,13.865,0.028116,
142,0.1,0.029237,34.204,46.314,49.735,136.5,26.999,35.86,499.83,40.023,13.875,0.028138,
142.25,0.1,0.029218,34.225,46.321,49.744,136.52,26.997,35.857,499.99,39.918,13.885,0.02816,
142.5,0.1,0.0292,34.247,46.328,49.753,136.54,26.995,35.853,500.14,39.814,13.895,0.028182,
142.75,0.1,0.029182,34.268,46.335,49.762,136.56,26.993,35.849,500.3,39.71,13.905,0.028204,
143,0.1,0.029163,34.289,46.342,49.771,136.58,26.991,35.845,500.45,39.606,13.915,0.028226,
143.25,0.1,0.029145,34.311,46.349,49.78,136.61,26.989,35.842,500.6,39.503,13.924,0.028248,
143.5,0.1,0.029127,34.332,46.355,49.789,136.63,26.988,35.838,500.76,39.4,13.934,0.02827,
143.75,0.1,0.029109,34.354,46.362,49.798,136.65,26.986,35.834,500.91,39.297,13.944,0.028292,
144,0.1,0.029091,34.375,46.369,49.806,136.67,26.984,35.831,501.07,39.195,13.954,0.028314,
144.25,0.1,0.029073,34.397,46.376,49.815,136.69,26.982,35.827,501.22,39.094,13.964,0.028335,
144.5,0.1,0.029054,34.418,46.383,49.824,136.71,26.981,35.824,501.37,38.992,13.974,0.028357,
144.75,0.1,0.029036,34.44,46.389,49.833,136.74,26.979,35.82,501.53,38.891,13.984,0.028379,
145,0.1,0.029018,34.461,46.396,49.842,136.76,26.977,35.817,501.68,38.791,13.994,0.028401,
145.25,0.1,0.029,34.482,46.403,49.851,136.78,26.976,35.813,501.83,38.691,14.004,0.028423,
145.5,0.1,0.028982,34.504,46.41,49.86,136.8,26.974,35.81,501.99,38.591,14.014,0.028445,
145.75,0.1,0.028964,34.525,46.417,49.869,136.82,26.973,35.806,502.14,38.492,14.024,0.028467,
146,0.1,0.028946,34.547,46.423,49.878,136.84,26.971,35.803,502.29,38.393,14.033,0.02849,
146.25,0.1,0.028928,34.568,46.43,49.887,136.86,26.97,35.8,502.45,38.294,14.043,0.028512,
146.5,0.1,0.02891,34.59,46.437,49.896,136.88,26.968,35.796,502.6,38.196,14.053,0.028534,
146.75,0.1,0.028893,34.611,46.444,49.905,136.91,26.967,35.793,502.75,38.099,14.063,0.028556,
147,0.1,0.028875,34.632,46.451,49.914,136.93,26.965,35.79,502.9,38.001,14.073,0.028578,
147.25,0.1,0.028857,34.654,46.457,49.923,136.95,26.964,35.787,503.06,37.904,14.083,0.0286,
147.5,0.1,0.028839,34.675,46.464,49.932,136.97,26.962,35.784,503.21,37.807,14.093,0.028622,
147.75,0.1,0.028821,34.697,46.471,49.941,136.99,26.961,35.781,503.36,37.711,14.103,0.028644,
148,0.1,0.028803,34.718,46.478,49.95,137.01,26.96,35.777,503.51,37.615,14.113,0.028666,
148.25,0.1,0.028786,34.739,46.485,49.959,137.03,26.958,35.774,503.67,37.52,14.123,0.028688,
148.5,0.1,0.028768,34.761,46.492,49.968,137.05,26.957,35.771,503.82,37.425,14.133,0.02871,
148.75,0.1,0.02875,34.782,46.498,49.977,137.08,26.956,35.768,503.97,37.33,14.143,0.028732,
149,0.1,0.028733,34.804,46.505,49.985,137.1,26.954,35.765,504.12,37.235,14.153,0.028754,
149.25,0.1,0.028715,34.825,46.512,49.994,137.12,26.953,35.762,504.27,37.141,14.163,0.028777,
149.5,0.1,0.028697,34.846,46.519,50.003,137.14,26.952,35.76,504.43,37.048,14.173,0.028799,
